Dates & Days,Event
9 th May,Victory day
11 th May,National Technology Day
12 th May,International Nurses day
14 th May,World Migratory day
15 th May,International Day of the Family
17 th May,"World Telecommunication Day (Information Society Day),World Hypertension Day"
21 st May,Anti-terrorism day
24 th May,Commonwealth Day
31 st May,Anti-Tobacco Day
1 st June,"Global Parents Day, World Milk Day"
3 rd June,World Bicycle Day
4 th June,"International Day of Innocent Children Victims ofAggression"
5 th June,World Environment Day
7 th June,International level crossing awareness day
8 th June,World ocean day
12 th June,World day against child Labour
13 th June,International Albinism Awareness Day
14 th June,World blood donor day
17 th June,World day to combat desertification and drought
20 th June,World Refugee day
21 st June,"Father’s day, World Music day"
23 rd June,United Nation’s public service day
23 rd June,International Widow’s day
26 th June,International day against Drug abuse & Illicit Trafficking
1 st July National Doctor’s day
1 st July "World UFO day, World Sports Journalists Day"
4 th July American Independence day
6 th July World Zoonoses Day
11 th July World Population Day
12 th July World Malala day
18 th July Nelson Mandela International Day
24 th July Here i am
28 th July World Nature conservation day
29 th July International Tiger Day
1 st August,World Breastfeeding Week
2 nd August,International Friendship Day
3 rd August,Independence day of Niger
5 th August,Independence day of upper Volta
6 th August,Hiroshima Day
9 th August,"International day of World’s indigenous people, Quit IndiaDay and Nagasaki Day"
12 th August,International Youth day
14 th August,Independence Day of Pakistan
15 th August,Independence Day of India
19 th August,World Photography day
20 th August,Sadbhavna Diwas
23 rd August,"International Day for the remembrance of the slave tradeand its abolition"
29 th August,National Sports Day
30 th August,Small Industry Day
1 st September,National Nutrition Week
2 nd September,World Coconut Day
5 th September,"Teachers’ Day (Dr. Radhakrishnan’s birthday), Forgiveness day"
8 th September,World Literacy Day
14 th September,"Hindi day, World First Air Day"
15 th September,Engineer’s day in India
16 th September,World Ozone Day
21 st September,"Alzheimer’s Day, International day of peace"
23 rd September,International Day of Sign Language
25 th September,Social justice day
26 th September,Day of the Deaf
27 th September,World Tourism Day
29 th September,World Heart Day
1 st October,International day of the Older person
2 nd October,"Mahatma Gandhi Birthday, International day of non-violence"
3 rd October,"World Habitat Day, World nature day"
4 th October,World Animal Welfare Day
5 th October,World Teacher’s day
6 th October,"World Wildlife day, World Food Security day"
8 th October,Indian Air Force Day
9 th October,World Post Office day
10 th October,National Post Day
11 th October,International girl child day
12 th October,World Arthritis day
13 th October,UN International Day for National disaster reduction
14 th October,World Standards Day
15 th October,World White Cane Day (guiding the Blind)
16 th October,World Food Day
17 th October,International day for the eradication of poverty
20 th October,World statistics day
24 th October,"UN Day, World development information Day"
30 th October,World Thrift Day
31 st October,"Rastriya Ekta Diwas (in memory of Sardar Patel),NationalIntegration Day (In memory of Indira Gandhi)"
1 st November,World vegan day
5 th November,World Radiography day
7 th November,"Infant Protection day , World Cancer Awareness Day"
9 th November,World services day
10 th November,Transport Day
14 th November,"Children’s Day in India, Jawaharlal Nehru birthday"
16 th November,International day for Endurance
17 th November,"World Student day, National Journalism day"
18 th November,World Adult day
19 th November,World Citizen day
20 th November,"Africa Industrialization Day, Universal children day"
21 st November,"World Television day, World Fisheries day"
25 th November,World Non-veg day
26 th November,Law day
29 th November,International Day of Solidarity with Palestinian People
1 st December,World AIDS Day
2 nd December,"World Computer literacy day, International day of abolitionof slavery"
3 rd December,"International Day of People with disabilities, Worldconservation day"
4 th December,Navy Day
5 th December,"International volunteer day for economic and socialdevelopment"
7 th December,"Armed Forces Flag Day, International civil aviation day"
9 th December,The International day against corruption
10 th December,Human Right Day
11 th December,International Mountain day
14 th December,International Energy day
18 th December,International Migrants day
19 th December,Goa’s liberation day
22 nd December,National Mathematics Day
23 rd December,Kisan Divas
24 th December,National Consumer Day
25 th December,Christmas
